NGA,PolID,Time,PolPop,PolTerr,CapPop,levels,government,infrastr,writing,texts,money,SPC1,MG_corr
Big Island Hawaii,Hawaii1,1000,3.854914489,4.111758782,2.282858352,-0.653776667,0.090909091,0.1,0.1,0.1,1.8,0.203229486,0
Big Island Hawaii,Hawaii1,1100,3.854914489,4.111758782,2.282858352,-0.653776667,0.090909091,0.1,0.1,0.1,1.8,0.203229486,0
Big Island Hawaii,Hawaii2,1200,3.75060626,3.337475493,3.36341585,1.060611058,0.090909091,0.090909091,0.15,0,1.8,0.222844566,0
Big Island Hawaii,Hawaii2,1300,4.065672773,3.337475493,3.429544945,0.943410065,0.090909091,0.090909091,0.15,0,1.8,0.228982281,0
Big Island Hawaii,Hawaii2,1400,4.192463943,3.337475493,3.584462782,1.99312972,0.090909091,0.181818182,0.15,0,1.8,0.258405039,0
Big Island Hawaii,Hawaii2,1500,4.59984655,3.337475493,3.807048415,4.564235725,0.172727273,0.181818182,0.15,0,1.8,0.293129012,0
Big Island Hawaii,Hawaii2,1600,4.44099749,3.337475493,2.308375277,2.584891736,0.09,0.1,0.15,0,1.8,0.229290002,0
Big Island Hawaii,Hawaii3,1700,5.011751688,3.973290061,3.44276639,3.153203776,0.227272727,0.245454545,0.166666667,0,1.8,0.346094981,0
Big Island Hawaii,USKameh,1800,5.192030874,4.226198808,4.363032781,3.534542845,0.35,0.172727273,0.166666667,0,1.8,0.366662367,1
Cahokia,USMisEW,-600,1.575337561,2.41821802,1.638345756,1,0,0.083333333,0,0,1,0.043114652,0
Cahokia,USMisEW,-500,1.575337561,2.41821802,1.638345756,1,0,0.083333333,0,0,1,0.043114652,0
Cahokia,USMisEW,-400,1.575337561,2.41821802,1.638345756,1,0,0.083333333,0,0,1,0.043114652,0
Cahokia,USMisEW,-300,1.575337561,2.41821802,1.638345756,1,0,0.083333333,0,0,1,0.043114652,0
Cahokia,USMisEW,-200,1.575337561,2.41821802,1.638345756,1,0,0.083333333,0,0,1,0.043114652,0
Cahokia,USMisMW,-100,1.675278294,2.731240875,1.621727983,1.156675205,0,0.083333333,0,0,1,0.046976795,0
